Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2025-01-01 00:00:00-06:00,2025-01-01 00:00:00-06:00,2025-01-01 00:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,17.9
2025-01-01 00:00:00-06:00,2025-01-01 00:00:00-06:00,2025-01-01 00:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.9
2025-01-01 00:00:00-06:00,2025-01-01 00:00:00-06:00,2025-01-01 00:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.9
2025-01-01 00:15:00-06:00,2025-01-01 00:15:00-06:00,2025-01-01 00:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,17.98
2025-01-01 00:15:00-06:00,2025-01-01 00:15:00-06:00,2025-01-01 00:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.98
2025-01-01 00:15:00-06:00,2025-01-01 00:15:00-06:00,2025-01-01 00:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.98
2025-01-01 00:30:00-06:00,2025-01-01 00:30:00-06:00,2025-01-01 00:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,18.21
2025-01-01 00:30:00-06:00,2025-01-01 00:30:00-06:00,2025-01-01 00:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,18.21
2025-01-01 00:30:00-06:00,2025-01-01 00:30:00-06:00,2025-01-01 00:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,18.21
2025-01-01 00:45:00-06:00,2025-01-01 00:45:00-06:00,2025-01-01 01:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,18.22
2025-01-01 00:45:00-06:00,2025-01-01 00:45:00-06:00,2025-01-01 01:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,18.22
2025-01-01 00:45:00-06:00,2025-01-01 00:45:00-06:00,2025-01-01 01:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,18.22
2025-01-01 01:00:00-06:00,2025-01-01 01:00:00-06:00,2025-01-01 01:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.97
2025-01-01 01:00:00-06:00,2025-01-01 01:00:00-06:00,2025-01-01 01:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,17.97
